Gender,Eastern_Western,Age
1,1,#NULL!
1,2,29
1,#NULL!,22
1,1,25
1,1,21
1,1,28
1,2,14
1,2,19
1,1,30
1,2,38
1,1,26
1,2,#NULL!
1,1,20
1,2,27
1,2,21
1,2,28
1,1,50
1,2,38
1,2,25
1,2,32
1,2,18
1,1,29
1,2,38
1,1,43
1,2,28
1,1,35
1,2,33
1,1,16
1,2,19
1,2,35
1,#NULL!,#NULL!
1,1,19
1,1,17
1,1,29
1,2,30
1,#NULL!,17
1,#NULL!,#NULL!
1,#NULL!,13
1,1,26
1,1,21
1,1,18
1,2,23
1,2,30
1,2,31
1,1,20
1,2,22
1,2,21
1,2,37
1,1,21
1,1,26
1,2,33
1,2,#NULL!
1,2,16
1,2,22
1,2,34
1,1,17
1,1,17
1,2,18
1,1,23
1,1,17
1,1,18
1,1,22
1,1,23
1,2,17
1,1,24
1,2,25
1,2,24
1,1,24
1,2,16
1,2,#NULL!
1,1,19
1,1,17
1,#NULL!,#NULL!
1,1,22
1,1,24
1,1,17
1,1,26
1,2,30
1,#NULL!,#NULL!
1,1,#NULL!
1,2,24
1,1,35
1,2,25
1,1,16
1,2,19
1,1,22
1,2,26
1,1,15
1,2,40
1,2,20
1,#NULL!,#NULL!
1,1,21
1,2,27
1,2,24
1,1,28
1,1,25
1,1,20
1,1,17
1,1,23
1,1,16
1,1,#NULL!
1,#NULL!,#NULL!
1,1,26
1,2,26
1,#NULL!,43
1,2,34
1,1,17
1,1,19
1,2,23
1,2,22
1,1,24
1,1,27
1,1,22
1,1,19
1,2,31
1,#NULL!,20
1,1,36
1,1,15
1,#NULL!,16
1,1,25
1,1,28
1,2,35
1,#NULL!,#NULL!
1,2,44
1,1,18
1,1,17
1,#NULL!,#NULL!
1,2,21
1,2,32
1,1,25
1,#NULL!,26
1,1,17
1,1,23
1,1,25
1,2,37
1,1,38
1,#NULL!,24
1,2,22
1,2,16
1,#NULL!,19
1,#NULL!,#NULL!
1,2,19
1,2,22
1,1,15
1,1,22
1,1,26
1,#NULL!,28
1,2,23
1,#NULL!,16
1,#NULL!,#NULL!
1,1,33
1,#NULL!,#NULL!
1,2,17
1,#NULL!,21
1,1,#NULL!
1,2,16
1,2,59
1,2,23
1,2,21
1,1,11
1,1,29
1,2,20
1,1,21
1,2,22
1,2,26
1,1,17
1,2,20
1,2,31
1,#NULL!,19
1,1,23
1,1,18
1,#NULL!,19
1,1,23
1,2,43
1,#NULL!,18
1,1,#NULL!
1,2,20
1,2,11
1,1,21
1,2,42
1,1,19
1,1,19
1,2,20
1,2,18
1,1,16
1,1,18
1,1,25
1,2,24
1,2,16
1,1,23
1,1,18
1,2,32
1,1,26
1,#NULL!,16
1,2,32
1,2,19
1,2,15
1,2,26
1,2,18
1,1,19
1,1,24
1,1,#NULL!
1,2,15
1,1,31
1,#NULL!,#NULL!
1,2,29
1,1,15
1,1,21
1,2,21
1,2,19
1,1,17
