SelfReportGamingMins,SelfReportTotalAppMins,EmotionTimeUsePhonePerDay
0,270,1
120,480,4
120,450,3
0,300,3
0,300,4
0,180,4
0,330,4
0,180,3
0,180,4
0,420,4
60,240,4
0,600,4
60,240,3
0,255,4
0,540,4
0,330,4
0,300,4
0,345,4
0,300,4
0,105,3
30,120,4
15,300,4
60,480,3
0,195,3
0,180,4
0,285,3
60,720,4
0,300,4
60,690,2
0,195,3
90,240,4
0,210,3
0,180,4
120,300,2
15,195,3
60,135,2
0,360,4
180,675,3
0,120,4
15,180,4
60,330,2
0,0,3
15,150,4
0,210,4
0,270,4
60,330,4
0,210,4
0,135,4
60,75,2
0,600,4
0,420,3
0,360,4
0,120,3
120,900,4
90,570,4
60,300,4
90,120,4
0,180,4
60,300,4
0,150,3
0,420,4
0,240,4
30,390,3
0,255,4
60,900,2
0,600,4
0,360,4
0,300,4
0,420,4
0,150,3
0,60,2
0,75,4
0,120,3
60,450,4
0,300,4
0,240,3
120,210,4
0,330,4
0,45,3
0,90,3
0,150,4
180,810,4
0,240,4
60,195,2
0,60,1
30,150,3
0,120,4
45,300,4
0,180,3
0,210,3
0,315,4
120,390,4
0,210,4
0,300,4
15,225,4
0,780,3
0,270,4
0,300,4
0,120,2
0,270,2
0,180,3
0,600,4
0,360,3
60,255,4
45,225,2
0,180,3
120,315,4
0,180,4
0,210,4
0,90,3
0,45,4
0,240,4
0,285,3
30,240,1
60,300,2
0,210,4
180,0,4
0,195,3
0,135,3
0,105,3
0,180,4
0,270,4
0,195,4
45,225,4
0,240,4
180,300,4
60,540,2
0,240,3
0,300,4
0,255,4
60,360,4
0,90,2
0,360,4
60,240,3
0,225,3
60,210,2
0,510,4
0,240,3
0,195,3
0,180,3
345,735,4
30,420,4
60,285,4
0,135,4
240,900,2
0,660,4
0,435,4
0,135,2
15,150,3
90,315,3
0,255,3
0,270,4
45,465,4
60,405,3
0,240,3
105,420,4
30,420,4
0,180,3
0,585,4
0,225,3
0,165,4
0,135,4
0,135,2
0,300,3
60,375,4
60,405,1
0,165,4
0,480,4
0,165,3
0,195,4
120,480,3
0,180,4
0,600,2
0,180,3
45,105,1
0,450,4
120,315,4
0,135,4
60,390,4
0,405,3
0,180,3
15,300,4
30,300,4
120,375,1
180,330,3
120,480,2
0,60,3
0,345,4
60,300,3
60,150,4
0,420,4
0,240,3
0,495,3
0,480,4
60,480,4
60,180,4
0,360,2
0,240,3
0,180,4
15,105,4
0,330,3
0,210,3
120,435,2
30,135,3
15,165,4
0,300,3
0,420,4
0,180,4
0,330,4
0,180,4
0,240,4
0,240,4
60,600,3
0,390,4
0,150,4
0,480,4
30,195,3
0,285,4
90,420,4
0,900,4
0,165,3
60,345,4
30,570,4
120,345,4
0,600,3
0,210,4
0,75,4
0,90,4
0,210,4
90,600,4
120,450,4
0,300,4
90,255,4
0,210,1
60,255,4
0,900,4
30,420,4
60,780,4
0,330,4
0,450,4
180,735,4
0,345,3
0,300,4
0,240,3
0,240,3
180,840,4
135,330,4
0,225,3
0,120,3
150,240,2
0,75,4
0,195,3
105,315,4
0,240,4
0,75,4
75,405,4
0,240,2
420,480,2
15,60,2
0,240,4
0,270,3
0,570,4
0,270,3
0,150,3
120,660,3
0,675,4
30,480,3
60,180,4
30,240,3
0,600,4
30,150,3
0,300,4
30,345,4
0,120,4
60,315,1
0,330,4
0,330,4
15,240,4
30,420,4
0,165,3
60,525,3
0,300,3
0,225,4
0,360,4
30,330,4
60,150,4
60,210,3
0,150,1
60,420,4
0,180,3
0,705,4
0,660,4
15,345,4
60,420,4
150,615,4
15,330,3
180,240,1
0,450,4
0,555,4
15,120,4
120,540,3
0,105,2
0,165,3
0,210,4
45,285,3
0,945,4
0,150,4
0,75,4
60,255,4
0,240,3
0,0,4
0,180,3
180,420,4
0,570,4
0,15,3
0,120,4
0,615,4
60,345,2
0,90,4
60,660,4
0,315,4
240,600,4
0,180,3
0,315,4
0,510,4
180,600,2
0,240,4
0,270,3
45,240,4
60,420,4
30,735,3
60,495,4
180,300,4
30,345,4
0,180,4
60,120,4
240,585,4
30,270,3
0,210,4
300,375,4
0,300,4
240,1020,4
30,330,4
0,360,4
0,300,4
60,195,4
0,360,4
0,240,2
0,150,1
0,240,4
120,360,4
30,615,4
0,300,3
0,135,4
0,300,3
300,540,4
60,255,4
120,825,3
0,300,4
60,720,4
0,180,4
120,300,4
30,270,4
120,360,4
120,540,4
15,60,1
0,360,4
0,0,4
240,600,4
90,615,1
120,495,3
0,180,3
60,360,4
0,180,3
0,240,4
0,180,4
0,240,4
0,90,3
0,150,3
0,240,4
0,210,3
60,210,3
0,420,4
0,150,4
0,600,4
0,240,4
0,180,4
0,1020,4
15,240,4
0,600,4
0,360,4
105,795,2
0,180,4
0,465,4
45,240,2
0,555,3
0,150,4
0,240,4
0,150,2
60,870,4
0,120,4
0,645,4
30,330,3
150,270,3
0,180,2
90,720,3
60,720,4
0,510,4
180,375,4
30,420,3
0,180,3
150,270,4
15,180,4
0,120,4
0,150,3
0,120,4
60,420,4
180,525,4
120,255,3
60,435,4
120,180,3
0,300,4
60,300,3
120,360,4
60,180,4
30,150,3
0,240,4
180,300,4
0,180,4
0,240,3
0,480,3
0,165,4
120,420,3
240,420,4
120,345,4
15,225,2
30,150,3
30,120,2
45,360,4
0,150,4
0,105,4
60,360,4
0,150,2
75,240,3
180,240,1
0,240,4
30,150,4
300,495,3
360,450,4
120,360,4
0,270,4
60,150,4
0,270,4
45,1020,3
0,240,3
0,315,4
0,330,4
120,300,4
0,195,4
15,345,4
0,855,4
0,300,2
0,705,4
120,855,4
0,330,3
60,840,2
0,180,3
