SelfReportOtherAppsMins,SelfReportTotalAppMins,EmotionTimeUsePhonePerDay
30,270,1
0,480,4
60,450,3
0,300,3
60,300,4
120,180,4
0,330,4
0,180,3
30,180,4
120,420,4
30,240,4
60,600,4
0,240,3
0,255,4
300,540,4
0,330,4
0,300,4
120,345,4
0,300,4
0,105,3
0,120,4
60,300,4
60,480,3
15,195,3
120,180,4
60,285,3
300,720,4
195,300,4
120,690,2
180,195,3
0,240,4
30,210,3
30,180,4
0,300,2
0,195,3
30,135,2
0,360,4
120,675,3
60,120,4
0,180,4
30,330,2
0,0,3
120,150,4
60,210,4
0,270,4
0,330,4
0,210,4
60,135,4
0,75,2
120,600,4
60,420,3
0,360,4
15,120,3
735,900,4
240,570,4
60,300,4
15,120,4
120,180,4
0,300,4
60,150,3
300,420,4
0,240,4
30,390,3
0,255,4
120,900,2
0,600,4
180,360,4
0,300,4
0,420,4
60,150,3
15,60,2
45,75,4
30,120,3
210,450,4
0,300,4
120,240,3
0,210,4
15,330,4
0,45,3
0,90,3
0,150,4
15,810,4
120,240,4
30,195,2
0,60,1
0,150,3
0,120,4
45,300,4
90,180,3
0,210,3
0,315,4
45,390,4
0,210,4
0,300,4
0,225,4
0,780,3
0,270,4
120,300,4
60,120,2
0,270,2
90,180,3
240,600,4
300,360,3
75,255,4
45,225,2
60,180,3
0,315,4
0,180,4
45,210,4
45,90,3
0,45,4
0,240,4
0,285,3
180,240,1
30,300,2
60,210,4
660,0,4
0,195,3
0,135,3
45,105,3
30,180,4
15,270,4
0,195,4
0,225,4
0,240,4
0,300,4
225,540,2
120,240,3
180,300,4
60,255,4
120,360,4
45,90,2
120,360,4
0,240,3
0,225,3
0,210,2
0,510,4
180,240,3
150,195,3
0,180,3
0,735,4
0,420,4
60,285,4
45,135,4
0,900,2
180,660,4
45,435,4
0,135,2
0,150,3
0,315,3
0,255,3
0,270,4
120,465,4
30,405,3
165,240,3
30,420,4
15,420,4
60,180,3
0,585,4
150,225,3
30,165,4
0,135,4
60,135,2
0,300,3
60,375,4
30,405,1
